time,cluster,in_out
1408980550.0,4,out
1408980550.0,1,in
1409032433.0,1,out
1409032433.0,4,in
1409032462.0,4,out
1409033725.0,61,in
1409036376.0,61,out
1409036376.0,0,in
1409054405.0,0,out
1409057313.0,40,in
1409057778.0,40,out
1409057970.0,40,in
1409057973.0,40,out
1409057974.0,40,in
1409057977.0,40,out
1409057979.0,40,in
1409058742.0,40,out
1409058794.0,40,in
1409061752.0,40,out
1409061785.0,40,in
1409061924.0,40,out
1409064743.0,4,in
1409064837.0,4,out
1409064837.0,1,in
1409065239.0,1,out
1409065239.0,7,in
1409069389.0,7,out
1409069389.0,1,in
1409112374.0,1,out
1409112374.0,4,in
1409112403.0,4,out
1409113661.0,61,in
1409116072.0,61,out
1409116072.0,0,in
1409153267.0,0,out
1409154842.0,1,in
1409187106.0,1,out
1409187106.0,0,in
1409490567.0,0,out
1409490567.0,7,in
1409492113.0,7,out
1409492113.0,1,in
1409524612.0,1,out
1409524612.0,4,in
1409524639.0,4,out
1409525974.0,61,in
1409528244.0,61,out
1409528244.0,0,in
1409841343.0,0,out
1409842693.0,61,in
1409842773.0,61,out
1409843672.0,4,in
1409843696.0,4,out
1409843696.0,1,in
1409889098.0,1,out
1409889098.0,4,in
1409889131.0,4,out
1409892627.0,0,in
1409977617.0,0,out
1409977617.0,1,in
1409980556.0,1,out
1409980556.0,0,in
1409998905.0,0,out
1409998905.0,33,in
1410007612.0,33,out
1410007655.0,33,in
1410007742.0,33,out
1410008870.0,7,in
1410008981.0,7,out
1410008981.0,1,in
1410128698.0,1,out
1410135797.0,32,in
1410138878.0,32,out
1410143753.0,25,in
1410145350.0,25,out
1410153253.0,2,in
1410219015.0,2,out
1410221564.0,73,in
1410222592.0,73,out
1410222602.0,73,in
1410222615.0,73,out
1410230113.0,84,in
1410230763.0,84,out
1410248014.0,31,in
1410248177.0,31,out
1410248267.0,7,in
1410248505.0,7,out
1410248505.0,1,in
1410878941.0,1,out
1410878941.0,42,in
1410878949.0,42,out
1410879038.0,42,in
1410879659.0,42,out
1410882055.0,4,in
1410882150.0,4,out
1410882150.0,1,in
1410917618.0,1,out
1410917618.0,0,in
1411215732.0,0,out
1411215732.0,18,in
1411216039.0,18,out
1411216342.0,18,in
1411224568.0,18,out
1411224590.0,18,in
1411224637.0,18,out
1411224882.0,18,in
1411225253.0,18,out
1411225378.0,1,in
1411225568.0,1,out
1411225568.0,7,in
1411230406.0,7,out
1411230732.0,63,in
1411231970.0,63,out
1411232377.0,1,in
1411232428.0,1,out
1411232447.0,1,in
1411232563.0,1,out
1411232563.0,4,in
1411232856.0,4,out
1411232856.0,1,in
1411286135.0,1,out
1411286135.0,0,in
1411293765.0,0,out
1411293765.0,61,in
1411293846.0,61,out
1411294639.0,4,in
1411294716.0,4,out
1411294716.0,1,in
1411745973.0,1,out
1411746535.0,4,in
1411746576.0,4,out
1411746576.0,1,in
1411798138.0,1,out
1411799737.0,0,in
1411828626.0,0,out
1411828626.0,42,in
1411828629.0,42,out
1411828632.0,42,in
1411828655.0,42,out
1411828820.0,42,in
1411828860.0,42,out
1411830205.0,61,in
1411830262.0,61,out
1411831573.0,1,in
1411882899.0,1,out
1411882899.0,4,in
1411882926.0,4,out
1411883847.0,61,in
1411885168.0,61,out
1411886770.0,0,in
1411914367.0,0,out
1411914456.0,42,in
1411914502.0,42,out
1411915678.0,61,in
1411915786.0,61,out
1411916633.0,4,in
1411916710.0,4,out
1411916710.0,1,in
1411951990.0,1,out
1411951990.0,0,in
1412308600.0,0,out
1412308600.0,1,in
1412309163.0,1,out
1412309163.0,7,in
1412309266.0,7,out
1412309688.0,21,in
1412309833.0,21,out
1412313573.0,21,in
1412317170.0,21,out
1412317170.0,0,in
1412348250.0,0,out
1412349866.0,1,in
1412402855.0,1,out
1412404481.0,0,in
1412424287.0,0,out
1412424287.0,1,in
1412426240.0,1,out
1412426240.0,7,in
1412426474.0,7,out
1412426474.0,1,in
1412426484.0,1,out
1412426484.0,7,in
1412432389.0,7,out
1412432389.0,1,in
1412432455.0,1,out
1412432455.0,7,in
1412433071.0,7,out
1412433071.0,1,in
1412433280.0,1,out
1412433280.0,7,in
1412433552.0,7,out
1412433552.0,1,in
1412486359.0,1,out
1412486359.0,4,in
1412486381.0,4,out
1412487288.0,61,in
1412488147.0,61,out
1412489486.0,0,in
1412519213.0,0,out
1412519213.0,42,in
1412519219.0,42,out
1412519229.0,42,in
1412519457.0,42,out
1412520794.0,61,in
1412520887.0,61,out
1412521965.0,4,in
1412522077.0,4,out
1412522077.0,1,in
1412556956.0,1,out
1412556956.0,0,in
1412977400.0,0,out
1412978509.0,61,in
1412978577.0,61,out
1412979414.0,4,in
1412979513.0,4,out
1412979513.0,1,in
1413019320.0,1,out
1413019320.0,4,in
1413019445.0,4,out
1413023431.0,0,in
1413123954.0,0,out
1413123954.0,42,in
1413124711.0,42,out
